"Timestamp","Which of the following describes you? Select all that apply. ","Which school(s) are your children currently enrolled in? Select all that apply.","Which grades will your children be in during 2026–2027? Select all that apply.","How many children do you have in the district?","Do any of your children require additional educational support? Select all that apply.","Which three factors matter most to your family in how your child's school assignment is made? Select up to 3.","How does your family currently get children to and from school? Select all that apply.","If your child(ren) moves to a different building, how would your transportation situation change? Select all that apply.","What is the longest one-way bus ride that would be acceptable for your family?","Will a school change impact your child care arrangements? ","When do you need to know your child's school assignment, start times, and bus route to make your fall schedule work?","Which three outcomes matter most to you as measures of whether this transition succeeded? Select up to 3","How are your children currently responding to the possibility of school changes next year? (Select multiple if your children are feeling differently)","How would you describe your child's adaptability to significant change?","How settled is your child in their current school community right now?","When your child has started at a new school in the past, how long did it typically take them to feel settled? If this is their first school, choose 'No prior experience.'","How confident are you that your child will be adequately supported through the transition?","Is there anything specific about your child's situation that the district should understand as it plans? (Optional. Do not include your child's name.)","Which school(s) are your children currently enrolled in? Select all that apply.","Which grades will your children be in during 2026–2027? Select all that apply.","How many children do you have in the district?","Do any of your children require additional educational support? Select all that apply.","Which three factors matter most to your family in how your child's school assignment is made? Select up to 3.","How does your family currently get children to and from school? Select all that apply.","If your child(ren) moves to a different building, how would your transportation situation change? Select all that apply.","What is the longest one-way bus ride that would be acceptable for your family?","Will a school change impact your child care arrangements? ","When do you need to know your child's school assignment, start times, and bus route to make your fall schedule work?","Which three outcomes matter most to you as measures of whether this transition succeeded? Select up to 3.","How are your children currently responding to the possibility of school changes next year? (Select multiple if your children are feeling differently)","How would you describe your child's adaptability to significant change?","How settled is your child in their current school community right now?","When your child has started at a new school in the past, how long did it typically take them to feel settled? If this is their first school, choose 'No prior experience.'","How confident are you that your child will be adequately supported through the transition?","Is there anything specific about your child's situation that the district should understand as it plans? (Optional. Do not include your child's name.)","Section 3 Educator: Your Role & Readiness: What is your role? Select all that apply","Do you serve students with additional educational support needs? Select all that apply.","Which grade bands do you primarily work with?","How long have you been at your current school, and in your current classroom or role? [Time at my current school]","How long have you been at your current school, and in your current classroom or role? [Time in my current classroom or role]","If you have ever changed school assignments, how long did each of the following take? [Physically moving and setting up your new space]","If you have ever changed school assignments, how long did each of the following take? [Feeling settled in the new school's culture and routines]","If you have ever changed school assignments, how long did each of the following take? [Learning expectations of your new building administration/leadership]","If you have ever changed school assignments, how long did each of the following take? [Feeling settled with fellow team of teachers]","What feels like an appropriate and manageable class size for the grade level or students you teach?","Which factors matter most to you in your next school assignment? Select up to 3.","How much preparation time do you believe is needed before implementing grade-band reconfiguration effectively?","Which transition preparation areas need the most attention from the district? Select up to 3.","How are students in your current classroom or caseload responding to the possibility of changes next year?","Which aspects of continuity are most important to plan for? Select all that apply.","How much of your students' current progress depends on their specific relationship with you or a colleague who may not follow them to the new school?","In your experience, how long does a student with significant behavioral or emotional needs take to re-establish effective working relationships after a school change?","Which three supports are most critical to your ability to serve students effectively in the new configuration? Select up to 3.","How prepared do you currently feel to serve students effectively in the new configuration?","Is there a student population, program, or situation the district hasn't fully accounted for in its planning? (Optional. Do not include student names.)","How would you describe the amount of information the district has provided about what this transition means for you?","What is the most important information you still need? Select up to 3.","Do you know who your point of contact is at the district for questions about this transition?","Have you had a meaningful opportunity to provide input into the planning process?","How much do you trust the district to carry out this transition in a way that serves students and families well?","Are there any circumstances that limit your ability to fully engage with this process? ","What is the single most important thing the district must get right for this transition to go well for your family or your students?","Is there anything about your specific situation that you think the district's planning hasn't fully accounted for?","Are you willing to be contacted for a brief follow-up conversation?","If you answered 'Yes' above, please provide your email address for follow-up:"
"4/1/2026 14:49:00","Educator or staff employed by South Portland School Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Classroom teacher (elementary), Educational technician (ed tech/paraprofessional)","Yes — some students with IEPs","PK-4","1–3 years","8+ years","More than a year","About a semester","More than a year","N/A","Fewer than 12","More grade-level collaboration opportunities, School close to where I live","More structured summer prep needed","Technology setup at new building, Communication to families, Time to meet new colleagues and learn building culture","Many noticeably anxious or distressed","Student and staff mental health, Transferring detailed student knowledge to new team, Supporting behavioral setbacks during adjustment, Self-contained classrooms (e.g., FLS) maintaining their team, Knowing which SpEd staff/OTs will be in the new building","Most — losing relationships would significantly set most back","More than a year","General ed behavior specialist in the building, Ed tech/paraprofessional support","I don't know enough about the plan yet","I have students with FLS who have taken three years to build trust with our team. Disrupting that team is genuinely dangerous.","Partial — big picture clear but critical details missing","What supports exist for multilingual learners, How IEP or 504 transitions will be handled","Somewhat — know of a contact but unsure if right person","No — haven't had a real opportunity","No trust","Yes — Distrust based on past experience","Protect IEP and 504 students with seamless staff transitions and complete file handoffs.","The before and after care at our current school is run by a parent group that may not survive the move.","Yes","respondent@example.com"
"4/7/2026 11:10:00","Parent or guardian of a current or incoming South Portland student, Educator or staff employed by South Portland School Department","South Portland Middle School, Kaler Elementary","Kindergarten, Pre-K","1","No, Yes — 504 plan","Ensuring representative diversity, Minimizing distance from home","Walk, Parent drives","Not enough information yet","Up to 30 min","Yes — will need to adjust","By June","","Positive/curious","Adjusts within a reasonable timeframe","Deeply settled","Less than a month","Not enough information to say","","South Portland Middle School, Kaler Elementary","Kindergarten, Pre-K","1","No, Yes — 504 plan","Ensuring representative diversity, Minimizing distance from home","Walk, Parent drives","Not enough information yet","Up to 30 min","Yes — will need to adjust","By June","Student sense of belonging, Educator retention","Positive/curious","Adjusts within a reasonable timeframe","Deeply settled","Less than a month","Not enough information to say","","Classroom teacher (elementary)","Yes — some multilingual learners (ESOL), Yes — role primarily supports IEP students","5-8","4–7 years","8+ years","About a school year","N/A","About a school year","About a school year","Fewer than 12","Workspace suited to my work, Teaching a familiar grade level","Not enough information to assess","Curriculum planning for new class compositions/larger sizes, Physically relocating materials/supplies, Time to meet new colleagues and learn building culture","Many noticeably anxious or distressed","Transferring detailed student knowledge to new team, Supporting behavioral setbacks during adjustment, Aligning lesson plans with educator team","Some — meaningful subset would be substantially affected","Varies significantly by student","MTSS/academic intervention support, Ed tech/paraprofessional support","I don't know enough about the plan yet","","Insufficient","Which specific school my child/I will attend, I have the information I need","Somewhat — know of a contact but unsure if right person","No — haven't had a real opportunity","Moderate trust","No","Give us actual information — bus routes, school assignments, timelines — before the school year ends.","My child's behavioral support plan depends entirely on a staff member whose position is being eliminated.","Yes","respondent@example.com"
"4/4/2026 08:25:00","Community member — no children enrolled in South Portland Public Schools","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I have received conflicting information","Specific bus routes and stop times, Whether before/after care will be available, Which programs (music/PE/arts) will exist at each building","No — don't know who to ask","Partially — had opportunities but don't feel input was incorporated","Moderate trust","No","Maintain the related arts programs. Music and PE are not extras — they are what keeps kids engaged.","The bilingual programming my child depends on may not exist at the assigned school.","No",""
"4/1/2026 23:31:00","Educator or staff employed by South Portland School Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Counselor or school social worker","Yes — some with 504 plans","5-8","Less than 1 year","Less than 1 year","More than a year","More than a year","About a school year","About a school year","15–18","Teaching a familiar grade level, School close to where I live, More grade-level collaboration opportunities","Not enough information to assess","IEP and 504 file transfers and team briefings, Curriculum planning for new class compositions/larger sizes","Mostly uncertain/asking questions","ESY/summer programming continuity, Self-contained classrooms (e.g., FLS) maintaining their team, Supporting behavioral setbacks during adjustment, Knowing which SpEd staff/OTs will be in the new building","Most — losing relationships would significantly set most back","More than a year","MTSS/academic intervention support, Ed tech/paraprofessional support, Class sizes within current limits","Depends on which positions are retained","We have ESOL students who are just beginning to make progress. A school change mid-journey will set them back months.","Sufficient","What supports exist for multilingual learners, Whether before/after care will be available, Specific bus routes and stop times","No — don't know who to ask","No — haven't had a real opportunity","No trust","Yes — Distrust based on past experience","Protect IEP and 504 students with seamless staff transitions and complete file handoffs.","I work two jobs and cannot attend evening meetings. My voice hasn't been heard in this process.","Yes","respondent@example.com"
"4/1/2026 18:53:00","Parent or guardian of a current or incoming South Portland student","Dyer Elementary, Brown Elementary","South Portland Middle School, Incoming child not yet enrolled, Grades 1–4","3","No, Yes — 504 plan","Appropriate student:teacher ratios, Access to specific services (SpEd/ESOL/OT)","School bus","Not enough information yet, Would need to drive more often","Up to 30 min","Unsure — need more information","Now","Chronic absenteeism rates, Family engagement and participation rates, Narrowing outcome gaps","Varies day to day, Neutral","Needs significant time and support","Just started","More than a year","Somewhat confident","Our family walks to school every day. Losing that would fundamentally change our morning routine and community.","Dyer Elementary, Brown Elementary","South Portland Middle School, Incoming child not yet enrolled, Grades 1–4","3","No, Yes — 504 plan","Appropriate student:teacher ratios, Access to specific services (SpEd/ESOL/OT)","School bus","Not enough information yet, Would need to drive more often","Up to 30 min","Unsure — need more information","Now","","Varies day to day, Neutral","Needs significant time and support","Just started","More than a year","Somewhat confident","Our family walks to school every day. Losing that would fundamentally change our morning routine and community.","","","","","","","","","","","","","","","","","","","","","Partial — big picture clear but critical details missing","Whether my child will have peers/friends at new building, Whether before/after care will be available, Which specific school my child/I will attend","Somewhat — know of a contact but unsure if right person","No — haven't had a real opportunity","Low trust","Yes — Distrust based on past experience","Communicate clearly and on time. The information gaps have caused enormous anxiety.","","No",""
"4/1/2026 08:06:00","Parent or guardian of a current or incoming South Portland student","Dyer Elementary, Kaler Elementary","Grades 1–4","3","Yes — 504 plan","Appropriate student:teacher ratios, Reliable before/after school care","Other","Would need to drive more often, Would need new before/after school care","Up to 30 min","Yes — will need to adjust","By June","Continuity of services for IEP/ESOL students, Narrowing outcome gaps","Negative/anxious or distressed","Depends on the type of change","Well settled","No prior experience","Not enough information to say","We have twins and the idea of them being separated into different schools at ages 7 and 8 is heartbreaking.","Dyer Elementary, Kaler Elementary","Grades 1–4","3","Yes — 504 plan","Appropriate student:teacher ratios, Reliable before/after school care","Other","Would need to drive more often, Would need new before/after school care","Up to 30 min","Yes — will need to adjust","By June","","Negative/anxious or distressed","Depends on the type of change","Well settled","No prior experience","Not enough information to say","We have twins and the idea of them being separated into different schools at ages 7 and 8 is heartbreaking.","","","","","","","","","","","","","","","","","","","","","Insufficient","A clear implementation timeline with milestones, Whether my child will know any teachers/staff at new building, Which programs (music/PE/arts) will exist at each building","No — don't know who to ask","No — haven't had a real opportunity","Moderate trust","No","Be honest about what you don't know and commit to telling us as soon as you do.","We are an immigrant family with documentation concerns and we are afraid to advocate publicly.","Yes","respondent@example.com"
"4/7/2026 11:29:00","Parent or guardian of a current or incoming South Portland student","Dyer Elementary","Grades 1–4, Pre-K, South Portland High School","1","No, Prefer not to say","Minimizing distance from home, Access to specific services (SpEd/ESOL/OT)","Bike, Parent drives, Walk","Not enough information yet","Up to 20 min","No — no impact","Now","Narrowing outcome gaps, Family engagement and participation rates, Educator retention","Unaware","Depends on the type of change","Deeply settled","Less than a month","Somewhat confident","My daughter is finally thriving after struggling in early elementary. I am terrified a new school will set her back.","Dyer Elementary","Grades 1–4, Pre-K, South Portland High School","1","No, Prefer not to say","Minimizing distance from home, Access to specific services (SpEd/ESOL/OT)","Bike, Parent drives, Walk","Not enough information yet","Up to 20 min","No — no impact","Now","","Unaware","Depends on the type of change","Deeply settled","Less than a month","Somewhat confident","My daughter is finally thriving after struggling in early elementary. I am terrified a new school will set her back.","","","","","","","","","","","","","","","","","","","","","Insufficient","Whether my child will have peers/friends at new building, How assignments will be determined","No — don't know who to ask","Partially — had opportunities but don't feel input was incorporated","No trust","Prefer not to say","Don't break apart the neighborhood school communities we've built.","","Yes","respondent@example.com"
"4/9/2026 00:57:00","Parent or guardian of a current or incoming South Portland student","Kaler Elementary, South Portland Middle School","South Portland High School, South Portland Middle School","2","Yes — IEP, No","Ensuring quality educational outcomes, Appropriate student:teacher ratios, Ensuring representative diversity","Parent drives, Carpool","Not enough information yet, At least one child would need to start taking the bus","Bus is not how my child travels","Yes — will need to adjust","Now","Narrowing outcome gaps, Disciplinary incident rates, Continuity of services for IEP/ESOL students","Too young to understand","Depends on the type of change","Deeply settled","About a semester","Not confident","We have three kids in three different schools already. Any further splitting of siblings is logistically impossible for us.","Kaler Elementary, South Portland Middle School","South Portland High School, South Portland Middle School","2","Yes — IEP, No","Ensuring quality educational outcomes, Appropriate student:teacher ratios, Ensuring representative diversity","Parent drives, Carpool","Not enough information yet, At least one child would need to start taking the bus","Bus is not how my child travels","Yes — will need to adjust","Now","","Too young to understand","Depends on the type of change","Deeply settled","About a semester","Not confident","We have three kids in three different schools already. Any further splitting of siblings is logistically impossible for us.","","","","","","","","","","","","","","","","","","","","","Insufficient","How IEP or 504 transitions will be handled, Whether my child will know any teachers/staff at new building, Which programs (music/PE/arts) will exist at each building","Somewhat — know of a contact but unsure if right person","Partially — had opportunities but don't feel input was incorporated","Low trust","Yes — Distrust based on past experience","Communicate clearly and on time. The information gaps have caused enormous anxiety.","We are an immigrant family with documentation concerns and we are afraid to advocate publicly.","Yes","respondent@example.com"
"4/8/2026 00:59:00","Educator or staff employed by South Portland School Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Other, Counselor or school social worker","Yes — some students with IEPs","5-8","1–3 years","8+ years","More than a year","N/A","More than a year","About a school year","15–18","Staying with students I've built relationships with, Teaching a familiar grade level","Full school year","Curriculum planning for new class compositions/larger sizes, Communication to families","Mostly uncertain/asking questions","Self-contained classrooms (e.g., FLS) maintaining their team, Student and staff mental health, Completing transition IEP meetings before school year, ESY/summer programming continuity, Knowing which SpEd staff/OTs will be in the new building","Most — losing relationships would significantly set most back","A full year","General ed behavior specialist in the building, Ed tech/paraprofessional support","Not prepared — significant gaps unaddressed","","Partial — big picture clear but critical details missing","A clear implementation timeline with milestones, What supports exist for multilingual learners","No — don't know who to ask","No — haven't had a real opportunity","No trust","Yes — Language access","Listen to families, not just at public comment but in actual planning decisions.","The walking distance issue for Kaler families has not been seriously addressed.","Yes","respondent@example.com"
"4/7/2026 19:25:00","Parent or guardian of a current or incoming South Portland student","Kaler Elementary, Skillin Elementary","Kindergarten, Pre-K","5 or more","Prefer not to say","Reliable before/after school care, Keeping neighborhood kids/friend groups together","Parent drives, Walk","Would need to drive more often","Bus is not how my child travels","Unsure — need more information","By May","Reading/math proficiency, Narrowing outcome gaps, Continuity of services for IEP/ESOL students","Neutral","Needs significant time and support","Well settled","About a semester","Not confident","We have three kids in three different schools already. Any further splitting of siblings is logistically impossible for us.","Kaler Elementary, Skillin Elementary","Kindergarten, Pre-K","5 or more","Prefer not to say","Reliable before/after school care, Keeping neighborhood kids/friend groups together","Parent drives, Walk","Would need to drive more often","Bus is not how my child travels","Unsure — need more information","By May","","Neutral","Needs significant time and support","Well settled","About a semester","Not confident","We have three kids in three different schools already. Any further splitting of siblings is logistically impossible for us.","","","","","","","","","","","","","","","","","","","","","Insufficient","Which specific school my child/I will attend, What equity metrics the district will use, Whether my child will have peers/friends at new building","No — don't know who to ask","No — haven't had a real opportunity","Moderate trust","Yes — Language access","Maintain the related arts programs. Music and PE are not extras — they are what keeps kids engaged.","The before and after care at our current school is run by a parent group that may not survive the move.","No",""
